Date,Price,Open,High,Low,Vol.,Change %,SMA_7,SMA_30,RSI_14,Vol_30
2018-02-26,10285.1,9590.9,10378.4,9410.3,235940.0,7.3,10185.485714285713,9527.463333333335,59.3049568964399,7.184995068747802
2018-02-27,10594.4,10287.8,10867.2,10120.5,202580.0,3.01,10093.442857142858,9487.44,63.944904328824094,7.18718428392049
2018-02-28,10333.9,10584.4,11070.7,10303.4,215220.0,-2.46,10073.57142857143,9457.076666666666,56.40726794561149,7.149999991962004
2018-03-01,10904.5,10335.1,11047.8,10248.7,188770.0,5.52,10225.4,9481.693333333333,56.469710534050954,6.983628803449321
2018-03-02,10827.7,10904.5,11167.0,10677.1,201690.0,-0.7,10319.300000000001,9500.436666666668,54.88896254545931,6.986161164480185
2018-03-03,11402.3,10822.5,11420.7,9585.5,172200.0,5.31,10561.871428571429,9574.476666666666,52.602418793019616,6.722140711642803
2018-03-04,11416.5,11402.8,11490.3,10878.4,156400.0,0.12,10823.485714285716,9658.586666666668,58.99552742750617,6.680023100311019
2018-03-05,11330.6,11415.7,11506.9,11281.2,162110.0,-0.75,10972.842857142856,9728.236666666666,51.621078036861896,6.665510034722601
2018-03-06,10675.1,11314.2,11316.4,10412.0,230650.0,-5.78,10984.371428571429,9810.0,44.93001331354952,6.40534245407864
2018-03-07,9902.9,10779.0,10899.0,9422.1,284540.0,-7.23,10922.8,9908.813333333332,44.87753158290144,5.807464043856736
2018-03-08,9300.0,9910.7,10109.0,9037.0,256260.0,-6.09,10693.585714285713,9962.106666666667,45.10774343864466,5.665713415426721
2018-03-09,9217.0,9301.9,9420.5,8351.0,371460.0,-0.89,10463.485714285713,10016.183333333332,40.989679809364944,5.659961221994542
2018-03-10,8762.0,9216.2,9500.0,8691.1,198730.0,-4.94,10086.300000000001,10036.109999999999,41.07585945627899,5.607703127646406
2018-03-11,9529.6,8732.2,9719.6,8516.4,266590.0,8.76,9816.742857142857,10063.77,49.53103913618531,5.704766599434388
2018-03-12,9137.4,9535.8,9892.2,8804.1,257910.00000000003,-4.12,9503.42857142857,10083.029999999999,39.789690941665555,5.7543576291482905
2018-03-13,9154.9,9138.7,9482.0,8875.1,239460.0,0.19,9286.257142857143,10118.796666666667,36.49244627934486,5.643785769861499
2018-03-14,8210.6,9154.9,9353.4,7958.5,305450.0,-10.32,9044.5,10095.7,32.34203216731488,5.681446958322245
2018-03-15,8264.4,8210.2,8427.0,7691.7,326530.0,0.66,8896.557142857142,10086.54,25.979437721706176,5.632819765068498
2018-03-16,8289.2,8264.3,8604.8,7929.1,236130.0,0.3,8764.014285714286,10046.970000000001,26.683200146895658,5.242456255058893
2018-03-17,7874.9,8198.0,8344.8,7760.2,208050.0,-5.0,8637.285714285714,9974.890000000001,16.616823137448407,5.173479186828815
2018-03-18,8201.2,7873.2,8283.6,7323.3,348020.0,4.14,8447.514285714286,9908.973333333333,21.267849802459637,5.2350797839982155
2018-03-19,8616.8,8200.9,8698.3,8127.7,316960.0,5.07,8373.142857142857,9827.083333333334,27.098734177151158,5.046005145759733
2018-03-20,8912.6,8614.1,9039.6,8326.8,253440.0,3.43,8338.528571428573,9777.543333333335,34.165274109126514,4.995025168783519
2018-03-21,8905.9,8912.4,9173.4,8775.1,218190.0,-0.08,8437.857142857143,9702.093333333332,39.61415058949237,4.773920338914137
2018-03-22,8726.2,8903.7,9096.2,8499.1,223010.0,-2.02,8503.828571428572,9618.343333333332,43.444683087189105,4.774200011219226
2018-03-23,8916.8,8725.3,8917.0,8305.6,210110.0,2.18,8593.485714285713,9566.47,46.65269167283949,4.660147610014692
2018-03-24,8547.4,8917.3,9008.8,8523.6,177430.0,-4.14,8689.557142857144,9523.326666666666,47.56058745949487,4.5941344412595315
2018-03-25,8473.2,8549.1,8679.0,8392.2,149520.0,-0.87,8728.414285714285,9466.753333333334,35.74435927871629,4.540998029447656
2018-03-26,8143.5,8474.0,8515.7,7865.9,247180.0,-3.89,8660.800000000001,9414.726666666667,36.357646800310484,4.521362016335104
2018-03-27,7801.7,8146.5,8218.3,7760.6,223100.0,-4.2,8502.1,9355.276666666667,32.94429039564879,4.570508271742671
2018-03-28,7954.9,7803.0,8110.4,7754.5,167360.0,1.96,8366.242857142857,9277.603333333333,45.9743694698688,4.3516602856126685
2018-03-29,7129.2,7955.2,7980.7,6954.9,348750.0,-10.38,8138.099999999999,9162.096666666668,35.62237195387337,4.629365736948854
2018-03-30,6853.7,7132.4,7288.1,6603.8,417310.0,-3.86,7843.371428571429,9046.09,32.90460878874343,4.649441642413218
2018-03-31,6938.2,6856.5,7221.5,6804.9,245300.0,1.23,7613.4857142857145,8913.88,37.89386615645294,4.497400130190076
2018-04-01,6825.2,6939.1,7047.7,6460.1,257530.0,-1.63,7378.057142857142,8780.463333333335,31.17853039327116,4.495634971069458
2018-04-02,7068.4,6825.4,7121.3,6787.6,199310.0,3.56,7224.471428571428,8636.0,27.772035601381333,4.415836300168326
2018-04-03,7424.2,7067.2,7519.3,7032.9,230800.0,5.03,7170.542857142857,8502.923333333332,28.995201806264177,4.565868073473767
2018-04-04,6808.9,7423.8,7432.9,6726.9,239510.0,-8.29,7006.828571428571,8352.2,24.74467675104863,4.737554002967535
2018-04-05,6782.0,6808.7,6918.2,6592.5,221700.0,-0.4,6957.228571428571,8222.43,25.690207062028662,4.674255045446738
2018-04-06,6624.3,6783.7,6859.7,6523.4,174900.0,-2.33,6924.457142857143,8113.143333333334,21.097354950882433,4.547202803189292
2018-04-07,6905.7,6624.5,7071.9,6616.1,177100.0,4.25,6919.814285714286,8033.333333333333,28.8326155908085,4.55808893206823
2018-04-08,7030.5,6905.9,7113.4,6903.9,132510.0,1.81,6949.142857142857,7960.45,31.638029782246917,4.584599657875017
2018-04-09,6781.9,7035.7,7192.5,6633.2,241190.0,-3.54,6908.214285714285,7894.446666666668,32.3049332015251,4.547949139921155
2018-04-10,6854.8,6782.6,6899.5,6671.6,134230.0,1.08,6826.8714285714295,7805.286666666667,36.76959619938109,4.196772651652029
2018-04-11,6962.1,6855.6,6988.6,6818.4,142070.0,1.56,6848.757142857144,7732.776666666668,35.94802694884696,4.179531679204082
2018-04-12,7926.6,6963.3,8009.6,6779.3,398300.0,13.85,7012.271428571429,7691.833333333333,60.85961758434058,4.963535817951874
2018-04-13,7887.4,7926.9,8228.0,7756.6,296950.0,-0.49,7192.714285714285,7681.06,65.04614130566485,4.594166078193322
2018-04-14,8004.4,7891.1,8180.2,7839.3,164710.0,1.48,7349.671428571429,7672.3933333333325,65.37374552978565,4.600869845293664
2018-04-15,8363.6,8004.6,8411.5,8004.6,160260.0,4.49,7540.114285714286,7674.873333333334,70.71193925332813,4.673513286252733
